codigo,registro_fuente,provincia,canton,zona_publica,anio_ensayo,elevacion_msnm,profundidad_sondeo_m,n60,capacidad_portante_kg_cm2,limite_liquido_pct,limite_plastico_pct,indice_plasticidad_pct,humedad_pct,profundidad_cimentacion_m,aashto,tipo_suelo,sucs,nivel_freatico,tipo_cimentacion,resistencia_n60,aptitud_referencial,privacidad,lon_wgs84,lat_wgs84
SPT-167,167,Loja,Loja,Zona técnica 04,2025,2110,3.45,14,2.04,31.6,22.7,8.9,14,1.5,A-4(8),Arcilla con bajo contenido de arena cl de mediana plasticidad color cafe amarillenta,CL,No,Zapata Continua o corrida,Baja,Condicionada,pública_anonimizada,-79.1990026,-3.9744582
SPT-168,168,Loja,Loja,Zona técnica 05,2025,2014,6.45,14,1.13,,,,24.44,1.5,A-4,Limo con arena ml no plastica color cafe,ML,No,Zapata aislada cuadrada,Baja,Condicionada,pública_anonimizada,-79.2253026,-3.9408138
SPT-169,169,Loja,Catamayo,Zona técnica 04,2025,1289,6,19,1.03,,,,4.81,1.2,A-1-b,Arena limosa con grava sm no plastica color gris,SM,No,Zapata aislada cuadrada,Baja,Condicionada,pública_anonimizada,-79.3545358,-3.9997973
SPT-170,170,Loja,Loja,Zona técnica 02,2025,2158,4.45,16,1.32,39.6,24.4,15.2,15.68,1.5,A-6(14),Arcilla con bajo contenido de arena cl de mediana plasticidad color cafe amarillento,CL,No,Zapata aislada cuadrada,Baja,Condicionada,pública_anonimizada,-79.2077704,-4.025088
SPT-171,171,Loja,Loja,Zona técnica 03,2025,2231,6.45,9,0.7,74.4,31.4,43,6.63,1,A-7-5(39),Arcilla con arena ch de alta plasticidad color cafe oscuro,CH,No,Zapata Continua o corrida,Muy baja,Revisión prioritaria,pública_anonimizada,-79.2173811,-4.0196023
SPT-172,172,Loja,Loja,Zona técnica 03,2025,2228,6.45,18,0.86,,,,5.12,1.5,A-4,Arena limosa con grava sm no plastica color cafe amarillento,SM,No,Zapata Continua o corrida,Baja,Revisión prioritaria,pública_anonimizada,-79.2173289,-4.0187431
SPT-173,173,Loja,Loja,Zona técnica 03,2025,2213,6.45,21,0.91,,,,8.48,1,A-1-a,Grava limosa con arena gm no plastica color cafe (material de mejoramiento),GM,No,Zapata Continua o corrida,Media,Revisión prioritaria,pública_anonimizada,-79.2139848,-4.0203544
SPT-174,174,Loja,Loja,Zona técnica 03,2025,2212,6.45,16,1.48,18.8,11,7.7,13.42,1,A-4(2),Arcilla con arena cl de mediana plasticidad color cafe amarillento claro,CL,No,Zapata Continua o corrida,Baja,Condicionada,pública_anonimizada,-79.2139399,-4.020291
SPT-175,175,Loja,Loja,Zona técnica 03,2025,2216,6.45,6,1.01,26,19.3,6.7,16.93,1,A-4(4),Arcilla limosa con bajo contenido de arena cl-ml de mediana plasticidad color cafe amrallineto claro,CL-ML,No,Zapata Continua o corrida,Muy baja,Revisión prioritaria,pública_anonimizada,-79.2140568,-4.0203636
SPT-176,176,Loja,Loja,Zona técnica 03,2025,2096,6,38,3.9,,,,3.66,2,A-1-a,Grava limosa con arena gm no plastica color gris,GM,No,Zapata aislada cuadrada,Alta,Alta,pública_anonimizada,-79.203649,-4.0156657
SPT-177,177,Loja,Loja,Zona técnica 03,2025,2096,6.45,13,1.44,,,,6.92,2,A-1-b,Arena limosa con grava sm no plastica color gris,SM,No,Zapata aislada cuadrada,Baja,Condicionada,pública_anonimizada,-79.2035949,-4.0156747
SPT-178,178,Loja,Loja,Zona técnica 03,2025,2096,5.45,12,1.37,,,,6.87,2,A-1-a,Arena limosa con grava smn no plastica color gris,SM,No,Zapata aislada cuadrada,Baja,Condicionada,pública_anonimizada,-79.203559,-4.0156475
SPT-179,179,Loja,Loja,Zona técnica 04,2025,2085,6,10,0.48,24.6,15.7,8.8,21.59,3,A-4(1),Arena arcillosa con grava sc de mediana plasticidad color cafe amarillenta,SC,Sí,Zapata Continua o corrida,Baja,Revisión prioritaria,pública_anonimizada,-79.2062388,-4.0048386
SPT-180,180,Loja,Loja,Zona técnica 01,2025,1623,5.2,11,1.03,,,,9.01,1.5,A-1-a,Grava bien gradada con arena gw no plastica color gris,GW,Sí,Zapata aislada cuadrada,Baja,Condicionada,pública_anonimizada,-79.2166789,-4.3268095
SPT-181,181,Loja,Loja,Zona técnica 01,2025,1622,2.5,64,3.55,,,,18.21,1.5,A-1-a,Arena mal gradada con grava sp no plastica color gris,SP,No,Zapata aislada cuadrada,Muy alta,Alta,pública_anonimizada,-79.216769,-4.3268278
SPT-182,182,Loja,Loja,Zona técnica 04,2025,2110,3.5,12,1.03,48.7,23.9,24.8,9.99,1.2,A-7-6(24),Arcilla con bajo contenido de arena cl de alta plasticidad color cafe grisaceo,CL,No,Zapata aislada cuadrada,Baja,Condicionada,pública_anonimizada,-79.2094011,-3.9832431
SPT-183,183,Loja,Chaguarpamba,Zona técnica 05,2025,1364,4.5,19,1.27,31,27.2,3.9,21.47,2,A-4(2),Limo con arena ml de baja plasticidad color cafe amarillenta,ML,No,Zapata Continua o corrida,Baja,Condicionada,pública_anonimizada,-79.6464919,-3.8777363
SPT-184,184,Loja,Loja,Zona técnica 02,2025,2106,6,10,1.01,32.9,15.5,17.4,20.03,1.2,A-6(8),Arcilla arenosa cl de mediana plasticidad color gris,CL,Sí,Zapata aislada cuadrada,Baja,Condicionada,pública_anonimizada,-79.2013858,-4.0211857
SPT-185,185,Loja,Loja,Zona técnica 02,2025,2143,6,15,1.38,18,16,2,30.4,2,A-1-a(0),Arena mal gradada con gravas sp de baja plasticidad color cafe,SP,No,Zapata aislada cuadrada,Baja,Condicionada,pública_anonimizada,-79.1996718,-4.0226377
SPT-186,186,Loja,Loja,Zona técnica 02,2025,1524,6.45,29,1.57,,,,3.23,2,A-1-b,Arena limosa con grava sm no plastica color cafe oscuro,SM,No,Zapata aislada cuadrada,Media,Media,pública_anonimizada,-79.2625036,-4.2143711
SPT-187,187,Loja,Loja,Zona técnica 01,2025,1597,3.3,40,2.8,,,,12.8,1.5,A-2-4,Arena limosa con grava sm no plastica color cafe claro,SM,No,Zapata aislada cuadrada,Muy alta,Alta,pública_anonimizada,-79.2413723,-4.2252186
SPT-188,188,Loja,Loja,Zona técnica 01,2025,1596,3.45,44,3.32,39.9,12.5,27.3,18.21,1.5,A-6(5),Grava arcillosa con arena gc de alta plasticidad color cafe oscuro,GC,No,Zapata aislada cuadrada,Muy alta,Alta,pública_anonimizada,-79.2413613,-4.225112
